BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_LT_12,AVE_MO_EN_PA_LT_12,AVE_PA_PAY_PA_LT_12,AVE_IP_PAY_PA_LT_12,AVE_SNF_PAY_PA_LT_12,AVE_OTH_PAY_PA_LT_12,AVE_IP_ADM_PA_LT_12,AVE_SNF_DAYS_PA_LT_12,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_LT_12,AVE_MO_EN_PB_LT_12,AVE_PB_PAY_PB_LT_12,AVE_CA_PAY_PB_LT_12,AVE_OP_PAY_PB_LT_12,AVE_OTH_PAY_PB_LT_12,AVE_CA_VST_PB_LT_12,AVE_OP_VST_PB_LT_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_LT_12,AVE_MO_EN_PC_LT_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_LT_12,AVE_MO_EN_PD_LT_12,AVE_PDE_CST_PD_LT_12,AVE_PDE_PD_LT_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12
1,1,,,0,1,,,1,1,,1,,1,1,35,8.971,43660,34488,,,2.829,,198,36803,28879,6945,979,2.707,18.096,36,8.889,21301,12220,6203,2878,10.139,12.194,196,25277,13684,7026,4567,20.418,14.24,,,,31,7.774,7128,52,200,12239,114.935
1,1,,,1,0,,,0,0,,0,,1,0,37,6.541,35969,31212,,,1.757,,111,17255,12997,,,1.09,,38,6.526,11701,8138,2507,1056,6,4.395,109,10817,6154,3311,1352,10.275,8.596,,,,,,,,47,5087,54.851
1,1,,,1,0,,,0,0,,0,,1,1,,,,,,,,,177,28648,20605,6706,1337,1.672,18.667,,,,,,,,,174,12930,6592,3882,2456,8.862,12.092,,,,30,6.833,2803,39.1,175,8091,92.154
1,1,,,1,0,,,0,0,,1,,1,0,31,7.613,19789,,,,,,198,17129,14469,1714,946,1.389,3.763,33,7.545,8500,5635,2199,666,8.667,3.818,195,12418,6708,2864,2846,14.477,7.841,,,,,,,,113,5844,64.283
1,1,,,1,0,,,0,0,,1,,1,1,38,8.053,25146,,,,,,285,20029,13827,4961,1241,1.439,14.656,38,7.974,9365,6912,1494,959,6.947,5.5,284,11733,6217,2996,2520,9.43,9.549,,,,36,6.861,3124,41.056,285,7286,86.856
1,1,,,1,0,,,0,1,,0,,1,0,50,7.14,36441,31869,2718,1854,2.56,5.86,168,28450,24097,3085,1268,1.857,7.851,51,7.039,15862,11308,3225,1329,10.902,7.941,166,15465,9407,3832,2226,13.819,10.235,,,,,,,,67,4053,59.687
1,1,,,1,0,,,0,1,,0,,1,1,45,7.556,38020,28039,6218,3763,2.289,14.6,201,27348,19007,7399,942,1.771,18.796,46,7.63,12730,8184,3125,1421,7.304,6.978,199,14971,8275,4601,2095,11.427,11.91,,,,50,6.68,2829,35.9,196,7391,91.087
1,1,,,1,0,,,0,1,,1,,1,0,,,,,,,,,112,19645,16131,2647,867,1.795,6.589,,,,,,,,,110,15176,7727,3786,3663,16.873,10.627,,,,,,,,60,7709,71.367
1,1,,,1,0,,,0,1,,1,,1,1,,,,,,,,,197,26484,20323,5303,858,1.888,16.761,,,,,,,,,197,17969,9640,3825,4504,12.467,11.569,,,,,,,,201,8106,102.473
1,1,,,1,0,,,1,0,,0,,1,0,35,7.571,32640,25284,4290,3066,2.4,12.314,172,21225,17592,2904,729,1.372,7.843,36,7.444,10202,5953,1607,2642,5.5,4.556,170,12143,5350,4283,2510,11.6,8.729,,,,,,,,82,8968,77.671
1,1,,,1,0,,,1,0,,0,,1,1,,,,,,,,,112,32124,23120,7604,1400,1.5,21.446,,,,,,,,,111,14941,8839,3724,2378,9.622,11.135,,,,,,,,112,9070,103.786
1,1,,,1,0,,,1,0,,1,,1,0,31,7.387,19678,,,,,,204,13326,11157,1386,783,1.103,3.387,32,7.219,9753,5877,1779,2097,7.469,5,199,12092,5331,2748,4013,14.462,7.492,,,,,,,,108,5412,76.778
1,1,,,1,0,,,1,0,,1,,1,1,,,,,,,,,214,19587,13016,5638,933,1.505,15.079,,,,,,,,,213,14642,7463,3809,3370,12.634,10.235,,,,,,,,215,8384,104.777
1,1,,,1,0,,,1,1,,0,,1,0,43,7.744,44309,38795,3849,1665,2.628,8.209,155,23343,18931,3135,1277,1.871,6.606,42,7.714,16199,11560,2876,1763,8.952,5.595,154,13743,8280,3104,2359,16.805,8.753,,,,,,,,69,5798,80.362
1,1,,,1,0,,,1,1,,0,,1,1,33,6.97,48087,40029,5821,2237,2.394,18.091,205,27141,20374,5928,839,2.063,15.961,35,6.914,13811,8604,3314,1893,5.314,6.629,202,18125,9417,4981,3727,13.485,12.079,,,,39,6.923,4418,49.513,201,8153,106.269
1,1,,,1,0,,,1,1,,1,,1,0,,,,,,,,,132,21400,18353,2299,748,1.947,5.326,,,,,,,,,131,17207,9428,3471,4308,19.168,9.458,,,,,,,,65,5373,68.108
1,1,,,1,0,,,1,1,,1,,1,1,,,,,,,,,207,25180,19346,4464,1370,2.787,13.261,,,,,,,,,203,23165,12129,5661,5375,16.808,12.163,,,,,,,,212,9767,119.151
